Sample	Group	Status	Type	Coverage
CbA7	Cb	Aged	3UTR	1.7815
CbA7	Cb	Aged	5UTR	1.9436
CbA7	Cb	Aged	CpG	2.0517
CbA7	Cb	Aged	Exon	1.8923
CbA7	Cb	Aged	Gene2KD	1.2637
CbA7	Cb	Aged	Gene2KU	1.3479
CbA7	Cb	Aged	Intron	1.1751
CbA1	Cb	Aged	3UTR	1.7148
CbA1	Cb	Aged	5UTR	1.8386
CbA1	Cb	Aged	CpG	1.5644
CbA1	Cb	Aged	Exon	1.8197
CbA1	Cb	Aged	Gene2KD	1.2727
CbA1	Cb	Aged	Gene2KU	1.2365
CbA1	Cb	Aged	Intron	1.1291
CbA6	Cb	Aged	3UTR	1.8561
CbA6	Cb	Aged	5UTR	2.1012
CbA6	Cb	Aged	CpG	2.1543
CbA6	Cb	Aged	Exon	2.0011
CbA6	Cb	Aged	Gene2KD	1.413
CbA6	Cb	Aged	Gene2KU	1.4327
CbA6	Cb	Aged	Intron	1.1452
CbA2	Cb	Aged	3UTR	1.7972
CbA2	Cb	Aged	5UTR	2.1997
CbA2	Cb	Aged	CpG	1.5131
CbA2	Cb	Aged	Exon	1.9029
CbA2	Cb	Aged	Gene2KD	1.3089
CbA2	Cb	Aged	Gene2KU	1.4077
CbA2	Cb	Aged	Intron	1.1634
CbA3	Cb	Aged	3UTR	1.652
CbA3	Cb	Aged	5UTR	1.8845
CbA3	Cb	Aged	CpG	1.8722
CbA3	Cb	Aged	Exon	1.8219
CbA3	Cb	Aged	Gene2KD	1.315
CbA3	Cb	Aged	Gene2KU	1.3562
CbA3	Cb	Aged	Intron	1.149
CpuA1	CPu	Aged	3UTR	1.9738
CpuA1	CPu	Aged	5UTR	2.3902
CpuA1	CPu	Aged	CpG	2.1287
CpuA1	CPu	Aged	Exon	2.1717
CpuA1	CPu	Aged	Gene2KD	1.3964
CpuA1	CPu	Aged	Gene2KU	1.4011
CpuA1	CPu	Aged	Intron	1.2285
CbA5	Cb	Aged	3UTR	1.8875
CbA5	Cb	Aged	5UTR	2.0684
CbA5	Cb	Aged	CpG	2.0774
CbA5	Cb	Aged	Exon	1.9477
CbA5	Cb	Aged	Gene2KD	1.2562
CbA5	Cb	Aged	Gene2KU	1.3429
CbA5	Cb	Aged	Intron	1.1471
CbA4	Cb	Aged	3UTR	1.6913
CbA4	Cb	Aged	5UTR	2.1209
CbA4	Cb	Aged	CpG	1.231
CbA4	Cb	Aged	Exon	1.9413
CbA4	Cb	Aged	Gene2KD	1.2577
CbA4	Cb	Aged	Gene2KU	1.3828
CbA4	Cb	Aged	Intron	1.1763
OBA6	OB	Aged	3UTR	2.017
OBA6	OB	Aged	5UTR	2.2457
OBA6	OB	Aged	CpG	1.8465
