Sample	Group	Length
CbA1	Cb	2677
CbA1	Cb	612
CbA1	Cb	3489
CbA1	Cb	3774
CbA1	Cb	324
CbA1	Cb	2727
CbA1	Cb	2345
CbA1	Cb	3889
CbA1	Cb	722
CbA1	Cb	2387
CbA1	Cb	566
CbA1	Cb	163
CbA1	Cb	602
CbA1	Cb	650
CbA1	Cb	3562
CbA1	Cb	392
CbA1	Cb	503
CbA1	Cb	365
CbA1	Cb	1550
CbA1	Cb	703
CbA1	Cb	624
CbA1	Cb	2836
CbA1	Cb	679
CbA1	Cb	3098
CbA1	Cb	1631
CbA1	Cb	254
CbA1	Cb	357
CbA1	Cb	1604
CbA1	Cb	412
CbA1	Cb	452
CbA1	Cb	408
CbA1	Cb	228
CbA1	Cb	272
CbA1	Cb	437
CbA1	Cb	342
CbA1	Cb	227
CbA1	Cb	2855
CbA1	Cb	622
CbA1	Cb	199
CbA1	Cb	200
CbA1	Cb	2280
CbA1	Cb	622
CbA1	Cb	312
CbA1	Cb	468
CbA1	Cb	174
CbA1	Cb	275
CbA1	Cb	250
CbA1	Cb	376
CbA1	Cb	702
CbA1	Cb	377
CbA1	Cb	392
CbA1	Cb	781
CbA1	Cb	276
CbA1	Cb	398
CbA1	Cb	205
CbA1	Cb	385
CbA1	Cb	351
CbA1	Cb	324
CbA1	Cb	326
CbA1	Cb	112
CbA1	Cb	345
CbA1	Cb	165
CbA1	Cb	1921
CbA1	Cb	233
CbA1	Cb	1216
CbA1	Cb	2625
CbA1	Cb	623
CbA1	Cb	494
CbA1	Cb	1974
CbA1	Cb	637
CbA1	Cb	375
CbA1	Cb	561
CbA1	Cb	3670
CbA1	Cb	172
CbA1	Cb	2767
CbA1	Cb	537
CbA1	Cb	449
CbA1	Cb	645
CbA1	Cb	1337
CbA1	Cb	434
CbA1	Cb	396
CbA1	Cb	189
CbA1	Cb	166
CbA1	Cb	244
CbA1	Cb	4600
CbA1	Cb	200
CbA1	Cb	419
CbA1	Cb	229
CbA1	Cb	588
CbA1	Cb	435
CbA1	Cb	1907
CbA1	Cb	302
CbA1	Cb	395
CbA1	Cb	2725
CbA1	Cb	1249
CbA1	Cb	347
CbA1	Cb	730
CbA1	Cb	488
CbA1	Cb	156
CbA1	Cb	398
CbA1	Cb	2835
CbA1	Cb	768
CbA1	Cb	410
CbA1	Cb	250
CbA1	Cb	1727
CbA1	Cb	697
CbA1	Cb	276
CbA1	Cb	295
CbA1	Cb	166
CbA1	Cb	240
CbA1	Cb	805
CbA1	Cb	1623
CbA1	Cb	414
CbA1	Cb	1525
CbA1	Cb	774
CbA1	Cb	177
CbA1	Cb	1181
CbA1	Cb	456
CbA1	Cb	175
CbA1	Cb	2436
CbA1	Cb	2719
CbA1	Cb	93
CbA1	Cb	380
CbA1	Cb	3246
CbA1	Cb	350
CbA1	Cb	120
CbA1	Cb	978
CbA1	Cb	623
CbA1	Cb	3048
CbA1	Cb	438
CbA1	Cb	4707
CbA1	Cb	2078
CbA1	Cb	1882
CbA1	Cb	1620
CbA1	Cb	351
CbA1	Cb	1774
CbA1	Cb	179
CbA1	Cb	471
CbA1	Cb	2614
CbA1	Cb	1685
CbA1	Cb	147
CbA1	Cb	385
CbA1	Cb	251
CbA1	Cb	1435
CbA1	Cb	266
CbA1	Cb	324
CbA1	Cb	222
CbA1	Cb	277
CbA1	Cb	707
CbA1	Cb	733
CbA1	Cb	146
CbA1	Cb	4183
CbA1	Cb	1372
CbA1	Cb	377
CbA1	Cb	351
CbA1	Cb	415
CbA1	Cb	628
CbA1	Cb	393
CbA1	Cb	374
CbA1	Cb	383
CbA1	Cb	2229
CbA1	Cb	297
CbA1	Cb	674
CbA1	Cb	960
CbA1	Cb	2175
CbA1	Cb	276
CbA1	Cb	740
CbA1	Cb	578
CbA1	Cb	483
CbA1	Cb	546
CbA1	Cb	339
CbA1	Cb	661
CbA1	Cb	1988
CbA1	Cb	241
CbA1	Cb	843
CbA1	Cb	364
CbA1	Cb	2275
CbA1	Cb	1222
CbA1	Cb	140
CbA1	Cb	297
CbA1	Cb	717
CbA1	Cb	333
CbA1	Cb	278
CbA1	Cb	353
CbA1	Cb	224
CbA1	Cb	378
CbA1	Cb	1212
CbA1	Cb	589
CbA1	Cb	257
CbA1	Cb	232
CbA1	Cb	2984
CbA1	Cb	2474
