Sample	Type	Group	Ratio
CbA1	MiroRNAs	Cb	0.0
CbA4	RNA Repeats	Cb	0.0028
CbA1	RNA Repeats	Cb	0.0039
CbA1	Satellite Repeats	Cb	0.0093
CbA4	Satellite Repeats	Cb	0.0104
CbA4	Coding Genes	Cb	0.5193
CbA1	Coding Genes	Cb	0.4949
CbA1	DNA Repeats	Cb	0.0514
CbA4	DNA Repeats	Cb	0.0394
CbA4	Enhancer Elements	Cb	0.0767
CbA1	Enhancer Elements	Cb	0.0759
CbA4	cis-Regulatory Elements	Cb	0.0927
CbA1	cis-Regulatory Elements	Cb	0.0887
CbA1	Simple Repeats	Cb	0.0506
CbA1	LTR Repeats	Cb	0.2192
CbA1	LINE Repeats	Cb	0.2809
CbA4	LTR Repeats	Cb	0.2162
CbA4	LINE Repeats	Cb	0.2222
CbA4	Simple Repeats	Cb	0.0502
CbA4	SINE Repeats	Cb	0.2667
CbA1	Promotor Elements	Cb	0.0071
CbA4	Promotor Elements	Cb	0.0064
CbA1	SINE Repeats	Cb	0.2756
CbA1	Transposable Elements	Cb	0.6224
CbA4	Transposable Elements	Cb	0.5934
CbA3	MiroRNAs	Cb	0.0
CbA3	RNA Repeats	Cb	0.0028
CbA3	Promotor Elements	Cb	0.007
CbA3	Satellite Repeats	Cb	0.0111
CbA3	Coding Genes	Cb	0.5017
CbA3	DNA Repeats	Cb	0.0414
CbA3	Enhancer Elements	Cb	0.0757
CbA3	cis-Regulatory Elements	Cb	0.0894
CbA3	LTR Repeats	Cb	0.2171
CbA3	LINE Repeats	Cb	0.2415
CbA3	Simple Repeats	Cb	0.0412
CbA3	SINE Repeats	Cb	0.2623
CbA3	Transposable Elements	Cb	0.6007
HipA4	MiroRNAs	Hip	0.0
HipA4	RNA Repeats	Hip	0.0027
HipA4	Promotor Elements	Hip	0.0041
HipA4	Satellite Repeats	Hip	0.0106
HipA4	Coding Genes	Hip	0.516
HipA4	DNA Repeats	Hip	0.0389
HipA4	Enhancer Elements	Hip	0.0767
HipA4	cis-Regulatory Elements	Hip	0.0891
HipA4	LINE Repeats	Hip	0.2085
HipA4	LTR Repeats	Hip	0.2161
HipA4	Simple Repeats	Hip	0.0428
HipA4	SINE Repeats	Hip	0.2601
NAcA7	MiroRNAs	NAc	0.0
NAcA7	RNA Repeats	NAc	0.0036
NAcA7	Promotor Elements	NAc	0.0097
NAcA7	Satellite Repeats	NAc	0.01
NAcA7	DNA Repeats	NAc	0.0511
NAcA7	Coding Genes	NAc	0.5511
NAcA7	Enhancer Elements	NAc	0.1105
NAcA7	cis-Regulatory Elements	NAc	0.1294
NAcA7	LTR Repeats	NAc	0.2444
NAcA7	LINE Repeats	NAc	0.2056
NAcA7	Simple Repeats	NAc	0.0426
CpuA5	MiroRNAs	CPu	0.0
CpuA5	RNA Repeats	CPu	0.0026
CpuA5	Promotor Elements	CPu	0.0059
CpuA5	Satellite Repeats	CPu	0.0057
CpuA5	DNA Repeats	CPu	0.0419
NAcA7	SINE Repeats	NAc	0.322
CpuA5	Coding Genes	CPu	0.524
CpuA5	Enhancer Elements	CPu	0.0821
PFCA5	MiroRNAs	mPFC	0.0
PFCA5	RNA Repeats	mPFC	0.0018
PFCA5	Promotor Elements	mPFC	0.0071
PFCA5	Satellite Repeats	mPFC	0.0042
CpuA5	cis-Regulatory Elements	CPu	0.0953
PFCA5	Coding Genes	mPFC	0.5195
PFCA5	DNA Repeats	mPFC	0.03
PFCA5	Enhancer Elements	mPFC	0.0737
CbA7	MiroRNAs	Cb	0.0
