Sample	Type	Group	Mean_Coverage	Mean_Mapping_Quality	Median_insert_size	GC_Percentage(%)	Duplication_rate(%)	Clipped_reads(%)	Mapped_reads(%)	General_error_rate(%)
CbA1	Cb	Aged	3.9399	44.17	260	40.01	21.38	33.29	78.3	1.27
CbA2	Cb	Aged	3.5102	43.89	275	41.17	20.32	32.91	76.98	1.54
CbA3	Cb	Aged	2.5398	44.34	271	40.59	23.04	33.19	71.89	1.5
CbA4	Cb	Aged	2.1312	42.9	229	40.99	27.65	34.38	62.87	1.64
CbA5	Cb	Aged	3.3228	45.08	273	41.55	24.79	31.46	70.4	1.42
CbA6	Cb	Aged	2.0856	45.12	286	41.73	22.74	34.4	74.72	1.74
CbA7	Cb	Aged	2.1574	43.1	217	41.7	29.91	34.21	60.65	1.64
CbY1	Cb	Young	4.2695	45.18	267	41.78	23.47	31.99	79.13	1.32
CbY2	Cb	Young	3.6741	45.08	256	42.3	27.17	36.19	81.34	1.39
CbY3	Cb	Young	2.6763	44.78	251	41.7	29.84	34.41	71.44	1.49
CbY4	Cb	Young	2.4479	45.18	260	41.81	28.09	38.07	81.94	1.64
CbY5	Cb	Young	3.029	45.38	266	42.04	28.94	34	75.94	1.46
CbY6	Cb	Young	3.5688	46.51	297	42.33	29.91	31.01	78.42	1.36
CbY7	Cb	Young	3.8457	44.44	300	42.27	25.62	31.9	84.17	1.34
CpuA1	CPu	Aged	3.8344	46.79	306	41.48	26.05	30.4	91.59	1.29
CpuA2	CPu	Aged	4.4501	46.38	305	40.68	34.1	29.16	88.01	1.25
CpuA3	CPu	Aged	3.8369	46.42	300	40.79	32.64	30.55	90.81	1.36
CpuA4	CPu	Aged	3.3815	46.44	290	40.55	33.12	35.76	94.58	1.37
CpuA5	CPu	Aged	3.5261	46.96	297	40.47	28.92	31.01	95.37	1.35
CpuA6	CPu	Aged	4.4102	46.15	278	40.85	33.66	32.1	91.94	1.26
CpuA7	CPu	Aged	4.2848	45.82	294	40.79	30.67	30.25	83.96	1.33
CpuY1	CPu	Young	4.8989	45.46	283	41.63	38.82	29.4	93.9	1.11
CpuY2	CPu	Young	4.5017	45.98	288	41.26	28.06	30	88.54	1.18
CpuY3	CPu	Young	4.6791	46.3	276	42.19	39.54	34.64	91.08	1.15
CpuY4	CPu	Young	5.4842	46.62	290	41.13	34.74	30.5	94.42	1.13
CpuY5	CPu	Young	4.2522	44.69	258	44.16	35.61	34.68	81.68	1.12
CpuY6	CPu	Young	2.391	44.44	212	44.91	42.76	39.43	72	1.18
CpuY7	CPu	Young	5.8789	47.01	276	44.28	34.91	34.53	93.61	1.1
HipA1	Hip	Aged	3.6207	44.74	313	39.43	19.64	27.05	87.53	1.24
HipA2	Hip	Aged	3.8256	45.65	288	40.6	21.76	29.27	86	1.26
HipA3	Hip	Aged	4.7988	45.09	274	40.69	22.69	30.62	84.69	1.21
HipA4	Hip	Aged	4.2525	45.45	296	40.75	21.02	29.22	81.53	1.29
HipA5	Hip	Aged	5.3968	46.39	276	41.55	23.87	31.25	85.56	1.17
HipA6	Hip	Aged	4.304	45.98	262	41.89	24.49	34.03	85.45	1.28
HipA7	Hip	Aged	4.0386	45.77	266	41.3	29.05	33	81.64	1.22
HipY1	Hip	Young	4.9111	44.98	287	40.66	20.99	29.42	85.51	1.15
HipY2	Hip	Young	4.5446	44.99	319	40.1	16.17	24.78	99.79	1.18
HipY3	Hip	Young	6.2532	45.86	296	40.88	20.8	26.76	97.89	1.16
HipY4	Hip	Young	5.3079	46.74	285	41.49	20.73	29.54	99.04	1.19
HipY5	Hip	Young	6.0246	47.12	284	41.16	17.82	28.83	99.29	1.15
HipY6	Hip	Young	7.8172	47.05	268	42.53	26.18	33.48	99.18	1.08
HipY7	Hip	Young	7.0148	47.69	268	42.76	21.18	33.74	97.93	1.18
NAcA1	NAc	Aged	4.5461	46	319	43.21	30.2	27.61	88.83	0.48
NAcA2	NAc	Aged	4.6732	45.08	298	43.69	33.92	31.3	97.55	0.48
NAcA3	NAc	Aged	7.7734	46.69	331	41.24	18.7	23	99.25	0.38
NAcA4	NAc	Aged	4.6515	45.89	271	44.86	32.02	36.55	99	0.45
NAcA5	NAc	Aged	6.0298	44.99	306	44.08	32.43	30.61	97.52	0.36
NAcA6	NAc	Aged	4.2084	45.23	265	44.86	39.61	38.82	99.04	0.45
NAcA7	NAc	Aged	5.2818	47.84	353	42.05	14.5	22.41	99.5	0.32
NAcY1	NAc	Young	2.8723	43.34	319	42.81	23.81	30.85	80.4	0.53
NAcY2	NAc	Young	4.6585	47.59	308	42.94	38.53	29.89	93.65	0.38
NAcY3	NAc	Young	4.7828	47.15	305	43.15	37.62	28.29	97.72	0.33
NAcY4	NAc	Young	4.9687	46.79	293	43.85	39.36	33.53	96.57	0.44
NAcY5	NAc	Young	4.1911	47.38	277	42.83	34.31	36.66	96.04	1.31
NAcY6	NAc	Young	4.0016	46.68	296	41.88	35.49	33.32	93.3	1.31
NAcY7	NAc	Young	2.1822	44.54	182	46.71	27.94	44.33	77.33	1.33
OBA1	OB	Aged	5.0642	46.9	302	41.65	31.85	31.42	99.39	0.49
OBA2	OB	Aged	6.0791	46.71	300	42.65	30.73	27.15	99.26	0.42
OBA3	OB	Aged	5.9613	46.99	317	42.16	27.85	24.58	99.2	0.4
OBA4	OB	Aged	6.2331	47.84	312	42.73	27.69	27.37	99.33	0.42
OBA5	OB	Aged	6.0906	46.38	308	41.81	30.57	26.29	98.58	0.39
OBA6	OB	Aged	4.6309	47.35	307	43.55	32.52	32.12	99.56	0.62
OBA7	OB	Aged	6.4093	47.37	286	42.8	31.42	28.52	99.12	0.42
OBY1	OB	Young	5.5307	46.47	306	42.27	32.17	27.85	99.63	0.36
OBY2	OB	Young	5.2584	46.35	314	42.81	26.47	28.7	99.61	0.3
