Sample	Group	Length
CbY1	Cb	401
CbY1	Cb	650
CbY1	Cb	804
CbY1	Cb	689
CbY1	Cb	561
CbY1	Cb	364
CbY1	Cb	1062
CbY1	Cb	341
CbY1	Cb	624
CbY1	Cb	423
CbY1	Cb	443
CbY1	Cb	721
CbY1	Cb	159
CbY1	Cb	377
CbY1	Cb	558
CbY1	Cb	1005
CbY1	Cb	485
CbY1	Cb	575
CbY1	Cb	999
CbY1	Cb	610
CbY1	Cb	1130
CbY1	Cb	544
CbY1	Cb	783
CbY1	Cb	360
CbY1	Cb	726
CbY1	Cb	379
CbY1	Cb	914
CbY1	Cb	733
CbY1	Cb	519
CbY1	Cb	222
CbY1	Cb	391
CbY1	Cb	290
CbY1	Cb	573
CbY1	Cb	314
CbY1	Cb	501
CbY1	Cb	1328
CbY1	Cb	246
CbY1	Cb	305
CbY1	Cb	228
CbY1	Cb	286
CbY1	Cb	357
CbY1	Cb	375
CbY1	Cb	985
CbY1	Cb	933
CbY1	Cb	202
CbY1	Cb	1138
CbY1	Cb	212
CbY1	Cb	951
CbY1	Cb	608
CbY1	Cb	611
CbY1	Cb	350
CbY1	Cb	1890
CbY1	Cb	162
CbY1	Cb	243
CbY1	Cb	553
CbY1	Cb	360
CbY1	Cb	520
CbY1	Cb	387
CbY1	Cb	363
CbY1	Cb	212
CbY1	Cb	371
CbY1	Cb	233
CbY1	Cb	2399
CbY1	Cb	395
CbY1	Cb	899
CbY1	Cb	362
CbY1	Cb	602
CbY1	Cb	561
CbY1	Cb	868
CbY1	Cb	373
CbY1	Cb	375
CbY1	Cb	374
CbY1	Cb	785
CbY1	Cb	452
CbY1	Cb	546
CbY1	Cb	276
CbY1	Cb	361
CbY1	Cb	1237
CbY1	Cb	369
CbY1	Cb	1425
CbY1	Cb	413
CbY1	Cb	359
CbY1	Cb	261
CbY1	Cb	355
CbY1	Cb	866
CbY1	Cb	382
CbY1	Cb	361
CbY1	Cb	558
CbY1	Cb	366
CbY1	Cb	445
CbY1	Cb	3175
CbY1	Cb	204
CbY1	Cb	346
CbY1	Cb	187
CbY1	Cb	189
CbY1	Cb	137
CbY1	Cb	343
CbY1	Cb	553
CbY1	Cb	369
CbY1	Cb	358
CbY1	Cb	829
CbY1	Cb	622
CbY1	Cb	2410
CbY1	Cb	478
CbY1	Cb	368
CbY1	Cb	309
CbY1	Cb	380
CbY1	Cb	286
CbY1	Cb	362
CbY1	Cb	407
CbY1	Cb	413
CbY1	Cb	251
CbY1	Cb	241
CbY1	Cb	545
CbY1	Cb	306
CbY1	Cb	267
CbY1	Cb	209
CbY1	Cb	825
CbY1	Cb	363
CbY1	Cb	573
CbY1	Cb	236
CbY1	Cb	520
CbY1	Cb	322
CbY1	Cb	2709
CbY1	Cb	370
CbY1	Cb	694
CbY1	Cb	125
CbY1	Cb	349
CbY1	Cb	366
CbY1	Cb	577
CbY1	Cb	176
CbY1	Cb	413
CbY1	Cb	2556
CbY1	Cb	781
CbY1	Cb	538
CbY1	Cb	609
CbY1	Cb	557
CbY1	Cb	326
CbY1	Cb	380
CbY1	Cb	297
CbY1	Cb	745
CbY1	Cb	421
CbY1	Cb	352
CbY1	Cb	413
CbY1	Cb	392
CbY1	Cb	271
CbY1	Cb	328
CbY1	Cb	143
CbY1	Cb	350
CbY1	Cb	1561
CbY1	Cb	763
CbY1	Cb	390
CbY1	Cb	585
CbY1	Cb	378
CbY1	Cb	736
CbY1	Cb	427
CbY1	Cb	2560
CbY1	Cb	445
CbY1	Cb	1201
CbY1	Cb	680
CbY1	Cb	335
CbY1	Cb	599
CbY1	Cb	354
CbY1	Cb	140
CbY1	Cb	347
CbY1	Cb	741
CbY1	Cb	759
CbY1	Cb	175
CbY1	Cb	376
CbY1	Cb	528
CbY1	Cb	382
CbY1	Cb	244
CbY1	Cb	197
CbY1	Cb	236
CbY1	Cb	317
CbY1	Cb	702
CbY1	Cb	1548
CbY1	Cb	874
CbY1	Cb	672
CbY1	Cb	803
CbY1	Cb	249
CbY1	Cb	1279
CbY1	Cb	540
CbY1	Cb	289
CbY1	Cb	743
CbY1	Cb	415
CbY1	Cb	291
CbY1	Cb	577
CbY1	Cb	640
CbY1	Cb	633
CbY1	Cb	247
CbY1	Cb	365
CbY1	Cb	704
CbY1	Cb	742
CbY1	Cb	851
CbY1	Cb	1266
CbY1	Cb	365
CbY1	Cb	547
CbY1	Cb	196
CbY1	Cb	869
CbY1	Cb	379
CbY1	Cb	274
CbY1	Cb	244
CbY1	Cb	320
CbY1	Cb	246
CbY1	Cb	355
CbY1	Cb	357
CbY1	Cb	124
CbY1	Cb	783
CbY1	Cb	230
CbY1	Cb	229
CbY1	Cb	1874
CbY1	Cb	641
CbY1	Cb	146
CbY1	Cb	416
CbY1	Cb	374
CbY1	Cb	566
CbY1	Cb	716
CbY1	Cb	353
CbY1	Cb	214
CbY1	Cb	421
CbY1	Cb	1531
