Sample	Type	Group	Ratio
CbY3	MiroRNAs	Cb	0.0
CbY3	Promotor Elements	Cb	0.0085
CbY3	Satellite Repeats	Cb	0.005
CbY3	RNA Repeats	Cb	0.0025
CbY3	Coding Genes	Cb	0.5212
CbY3	Enhancer Elements	Cb	0.0803
CbY3	DNA Repeats	Cb	0.04
CbY3	cis-Regulatory Elements	Cb	0.0956
CbY3	LINE Repeats	Cb	0.2031
CbY3	Simple Repeats	Cb	0.0243
CbY3	LTR Repeats	Cb	0.1984
CbY3	SINE Repeats	Cb	0.2392
CbY6	MiroRNAs	Cb	0.0
CbY6	RNA Repeats	Cb	0.0025
CbY6	Promotor Elements	Cb	0.0082
CbY6	Satellite Repeats	Cb	0.0046
PFCY2	MiroRNAs	mPFC	0.0
PFCY2	RNA Repeats	mPFC	0.0025
PFCY2	Promotor Elements	mPFC	0.0052
CbY6	Coding Genes	Cb	0.5227
PFCY2	Satellite Repeats	mPFC	0.0036
CbY6	DNA Repeats	Cb	0.043
CbY6	Enhancer Elements	Cb	0.0796
PFCY2	DNA Repeats	mPFC	0.034
PFCY2	Coding Genes	mPFC	0.5232
PFCY2	Enhancer Elements	mPFC	0.0731
CbY6	cis-Regulatory Elements	Cb	0.0938
PFCY2	cis-Regulatory Elements	mPFC	0.0858
CbY6	Simple Repeats	Cb	0.0211
CbY6	LTR Repeats	Cb	0.2068
CbY6	LINE Repeats	Cb	0.1901
PFCY2	Simple Repeats	mPFC	0.0204
PFCY2	LTR Repeats	mPFC	0.195
PFCY2	LINE Repeats	mPFC	0.2022
CbY6	SINE Repeats	Cb	0.2436
PFCY2	SINE Repeats	mPFC	0.2387
CbY3	Transposable Elements	Cb	0.5654
CbY6	Transposable Elements	Cb	0.5654
PFCY2	Transposable Elements	mPFC	0.568
OBY5	MiroRNAs	OB	0.0
OBY5	RNA Repeats	OB	0.002
OBY5	Promotor Elements	OB	0.0044
OBY5	Satellite Repeats	OB	0.0033
OBY5	DNA Repeats	OB	0.0373
OBY5	Enhancer Elements	OB	0.0739
OBY5	Coding Genes	OB	0.5201
NAcY4	MiroRNAs	NAc	0.0
NAcY4	RNA Repeats	NAc	0.0025
NAcY4	Promotor Elements	NAc	0.0092
NAcY4	DNA Repeats	NAc	0.0417
OBY5	cis-Regulatory Elements	OB	0.0861
NAcY4	Coding Genes	NAc	0.5497
NAcY4	Enhancer Elements	NAc	0.1026
NAcY4	cis-Regulatory Elements	NAc	0.1221
OBY5	Simple Repeats	OB	0.0199
OBY5	LINE Repeats	OB	0.2003
OBY5	LTR Repeats	OB	0.2029
NAcY4	Simple Repeats	NAc	0.0195
NAcY4	LINE Repeats	NAc	0.1722
NAcY4	LTR Repeats	NAc	0.2201
OBY5	SINE Repeats	OB	0.2445
NAcY4	SINE Repeats	NAc	0.2756
OBY7	MiroRNAs	OB	0.0
OBY7	RNA Repeats	OB	0.0022
OBY7	Promotor Elements	OB	0.0046
OBY7	Satellite Repeats	OB	0.0042
OBY7	DNA Repeats	OB	0.0368
OBY7	Coding Genes	OB	0.5178
OBY7	Enhancer Elements	OB	0.0736
OBY7	cis-Regulatory Elements	OB	0.0867
OBY7	Simple Repeats	OB	0.0241
OBY7	LINE Repeats	OB	0.2078
OBY7	LTR Repeats	OB	0.2017
OBY7	SINE Repeats	OB	0.2475
NAcY4	Transposable Elements	NAc	0.5728
OBY5	Transposable Elements	OB	0.5715
OBY7	Transposable Elements	OB	0.5762
NAcY1	MiroRNAs	NAc	0.0
NAcY1	RNA Repeats	NAc	0.0023
NAcY1	Promotor Elements	NAc	0.0104
NAcY1	Satellite Repeats	NAc	0.0182
NAcY1	Coding Genes	NAc	0.5356
NAcY1	DNA Repeats	NAc	0.0407
NAcY1	Enhancer Elements	NAc	0.0975
NAcY1	cis-Regulatory Elements	NAc	0.1149
NAcY1	LTR Repeats	NAc	0.2262
NAcY1	LINE Repeats	NAc	0.1925
NAcY1	Simple Repeats	NAc	0.0724
NAcY1	SINE Repeats	NAc	0.2813
NAcY2	MiroRNAs	NAc	0.0
NAcY2	RNA Repeats	NAc	0.0026
NAcY2	Promotor Elements	NAc	0.0087
NAcY2	Satellite Repeats	NAc	0.0037
NAcY2	DNA Repeats	NAc	0.0456
NAcY2	Coding Genes	NAc	0.549
NAcY2	Enhancer Elements	NAc	0.1024
NAcY2	cis-Regulatory Elements	NAc	0.1189
NAcY2	LINE Repeats	NAc	0.178
NAcY2	Simple Repeats	NAc	0.02
NAcY2	LTR Repeats	NAc	0.2231
OBY3	MiroRNAs	OB	0.0
OBY3	RNA Repeats	OB	0.002
OBY3	Promotor Elements	OB	0.0056
OBY3	Satellite Repeats	OB	0.0051
OBY3	DNA Repeats	OB	0.0356
OBY3	Coding Genes	OB	0.5223
OBY3	Enhancer Elements	OB	0.0752
NAcY2	SINE Repeats	NAc	0.2937
NAcY1	Transposable Elements	NAc	0.5803
OBY3	cis-Regulatory Elements	OB	0.0883
OBY3	LTR Repeats	OB	0.1929
OBY3	Simple Repeats	OB	0.0241
OBY3	LINE Repeats	OB	0.1979
CpuY1	MiroRNAs	CPu	0.0
CpuY1	RNA Repeats	CPu	0.003
CpuY1	Promotor Elements	CPu	0.0086
CpuY1	Satellite Repeats	CPu	0.0045
CpuY1	Coding Genes	CPu	0.5488
CpuY1	DNA Repeats	CPu	0.0433
CpuY1	Enhancer Elements	CPu	0.1087
OBY3	SINE Repeats	OB	0.2376
CpuY1	cis-Regulatory Elements	CPu	0.128
CpuY1	LTR Repeats	CPu	0.231
CpuY1	LINE Repeats	CPu	0.1832
CpuY1	Simple Repeats	CPu	0.0255
CpuY1	SINE Repeats	CPu	0.2975
NAcY2	Transposable Elements	NAc	0.5915
OBY3	Transposable Elements	OB	0.5608
CpuY1	Transposable Elements	CPu	0.6016
OBY6	RNA Repeats	OB	0.0027
OBY6	MiroRNAs	OB	0.0
