Sample	Type	Group	Chr	Ratio	Mapped	Total
BcA1	Bc	Aged	chr1	0.0734	5419709	73841530
BcA1	Bc	Aged	chr2	0.0787	5811917	73841530
BcA1	Bc	Aged	chr3	0.0558	4117793	73841530
BcA1	Bc	Aged	chr4	0.0534	3946236	73841530
BcA1	Bc	Aged	chr5	0.0518	3824770	73841530
BcA1	Bc	Aged	chr6	0.0596	4404601	73841530
BcA1	Bc	Aged	chr7	0.0568	4193974	73841530
BcA1	Bc	Aged	chr8	0.0439	3239853	73841530
BcA1	Bc	Aged	chr9	0.0625	4613716	73841530
BcA1	Bc	Aged	chr10	0.0513	3788408	73841530
BcA1	Bc	Aged	chr11	0.0438	3231781	73841530
BcA1	Bc	Aged	chr12	0.0581	4287298	73841530
BcA1	Bc	Aged	chr13	0.0425	3141361	73841530
BcA1	Bc	Aged	chr14	0.0582	4294919	73841530
BcA1	Bc	Aged	chr15	0.0359	2648694	73841530
BcA1	Bc	Aged	chr16	0.0337	2485629	73841530
BcA1	Bc	Aged	chr17	0.0311	2293646	73841530
BcA1	Bc	Aged	chr18	0.0318	2350839	73841530
BcA1	Bc	Aged	chr19	0.0232	1716506	73841530
BcA1	Bc	Aged	chrM	0.0412	3040855	73841530
BcA1	Bc	Aged	chrX	0.0353	2605692	73841530
BcA1	Bc	Aged	chrY	0.0301	2224958	73841530
BcA1	Bc	Aged	UnMapped	0.1604	14106172	73841530
BcA2	Bc	Aged	chr1	0.0438	1975465	45146961
BcA2	Bc	Aged	chr2	0.0777	3507135	45146961
BcA2	Bc	Aged	chr3	0.0378	1707071	45146961
BcA2	Bc	Aged	chr4	0.0336	1518603	45146961
BcA2	Bc	Aged	chr5	0.0581	2622794	45146961
BcA2	Bc	Aged	chr6	0.039	1760620	45146961
BcA2	Bc	Aged	chr7	0.0295	1330846	45146961
BcA2	Bc	Aged	chr8	0.0308	1388353	45146961
BcA2	Bc	Aged	chr9	0.061	2756059	45146961
BcA2	Bc	Aged	chr10	0.0248	1121577	45146961
BcA2	Bc	Aged	chr11	0.0324	1464490	45146961
BcA2	Bc	Aged	chr12	0.0377	1703790	45146961
BcA2	Bc	Aged	chr13	0.0245	1106945	45146961
BcA2	Bc	Aged	chr14	0.0361	1629191	45146961
BcA2	Bc	Aged	chr15	0.0245	1104512	45146961
BcA2	Bc	Aged	chr16	0.0188	846562	45146961
BcA2	Bc	Aged	chr17	0.0177	797510	45146961
BcA2	Bc	Aged	chr18	0.0198	892721	45146961
BcA2	Bc	Aged	chr19	0.0132	596923	45146961
BcA2	Bc	Aged	chrM	0.0284	1283032	45146961
BcA2	Bc	Aged	chrX	0.0278	1255580	45146961
BcA2	Bc	Aged	chrY	0.0266	1200168	45146961
BcA2	Bc	Aged	UnMapped	0.4226	33038453	45146961
BcA3	Bc	Aged	chr1	0.0563	3231149	57370633
BcA3	Bc	Aged	chr2	0.0785	4502938	57370633
BcA3	Bc	Aged	chr3	0.0516	2963007	57370633
BcA3	Bc	Aged	chr4	0.0413	2368030	57370633
BcA3	Bc	Aged	chr5	0.0246	1414146	57370633
BcA3	Bc	Aged	chr6	0.0493	2825534	57370633
BcA3	Bc	Aged	chr7	0.0628	3602110	57370633
BcA3	Bc	Aged	chr8	0.0489	2805540	57370633
BcA3	Bc	Aged	chr9	0.0763	4377870	57370633
BcA3	Bc	Aged	chr10	0.0596	3420990	57370633
BcA3	Bc	Aged	chr11	0.032	1837153	57370633
BcA3	Bc	Aged	chr12	0.0462	2652291	57370633
BcA3	Bc	Aged	chr13	0.0254	1459304	57370633
BcA3	Bc	Aged	chr14	0.1183	6788289	57370633
BcA3	Bc	Aged	chr15	0.0258	1478989	57370633
BcA3	Bc	Aged	chr16	0.0226	1298582	57370633
BcA3	Bc	Aged	chr17	0.1004	5758801	57370633
BcA3	Bc	Aged	chr18	0.0183	1050268	57370633
BcA3	Bc	Aged	chr19	0.0124	709297	57370633
BcA3	Bc	Aged	chrM	0.0415	2380904	57370633
BcA3	Bc	Aged	chrX	0.021	1202305	57370633
BcA3	Bc	Aged	chrY	0.0663	3800947	57370633
BcA3	Bc	Aged	UnMapped	0.12290000000000001	8041687	57370633
BcA4	Bc	Aged	chr1	0.0689	4199174	60976726
BcA4	Bc	Aged	chr2	0.086	5243679	60976726
BcA4	Bc	Aged	chr3	0.0361	2198683	60976726
BcA4	Bc	Aged	chr4	0.0361	2201451	60976726
BcA4	Bc	Aged	chr5	0.0368	2244684	60976726
BcA4	Bc	Aged	chr6	0.0477	2905705	60976726
BcA4	Bc	Aged	chr7	0.0522	3180474	60976726
BcA4	Bc	Aged	chr8	0.0645	3934190	60976726
BcA4	Bc	Aged	chr9	0.0762	4645429	60976726
BcA4	Bc	Aged	chr10	0.032	1950038	60976726
BcA4	Bc	Aged	chr11	0.0393	2394175	60976726
BcA4	Bc	Aged	chr12	0.0327	1994398	60976726
BcA4	Bc	Aged	chr13	0.028	1707750	60976726
BcA4	Bc	Aged	chr14	0.0388	2366500	60976726
BcA4	Bc	Aged	chr15	0.0224	1367699	60976726
BcA4	Bc	Aged	chr16	0.0396	2415310	60976726
BcA4	Bc	Aged	chr17	0.0422	2573152	60976726
BcA4	Bc	Aged	chr18	0.0248	1514621	60976726
BcA4	Bc	Aged	chr19	0.0141	857677	60976726
BcA4	Bc	Aged	chrM	0.1407	8577782	60976726
BcA4	Bc	Aged	chrX	0.0161	984615	60976726
BcA4	Bc	Aged	chrY	0.0887	5409992	60976726
BcA4	Bc	Aged	UnMapped	0.18269999999999997	13627950	60976726
BcA5	Bc	Aged	chr1	0.0702	4991657	71089750
BcA5	Bc	Aged	chr2	0.0681	4838245	71089750
BcA5	Bc	Aged	chr3	0.1151	8185820	71089750
BcA5	Bc	Aged	chr4	0.0631	4487404	71089750
BcA5	Bc	Aged	chr5	0.0414	2945036	71089750
BcA5	Bc	Aged	chr6	0.0651	4631293	71089750
BcA5	Bc	Aged	chr7	0.0648	4606336	71089750
BcA5	Bc	Aged	chr8	0.0453	3220548	71089750
BcA5	Bc	Aged	chr9	0.0643	4568065	71089750
BcA5	Bc	Aged	chr10	0.0301	2139067	71089750
BcA5	Bc	Aged	chr11	0.0379	2694106	71089750
BcA5	Bc	Aged	chr12	0.0802	5698766	71089750
BcA5	Bc	Aged	chr13	0.036	2558162	71089750
BcA5	Bc	Aged	chr14	0.0615	4369144	71089750
BcA5	Bc	Aged	chr15	0.0252	1790119	71089750
BcA5	Bc	Aged	chr16	0.0315	2235819	71089750
BcA5	Bc	Aged	chr17	0.0512	3642187	71089750
BcA5	Bc	Aged	chr18	0.02	1422301	71089750
BcA5	Bc	Aged	chr19	0.0224	1589972	71089750
BcA5	Bc	Aged	chrM	0.0354	2514946	71089750
BcA5	Bc	Aged	chrX	0.0233	1653138	71089750
BcA5	Bc	Aged	chrY	0.0409	2909523	71089750
BcA5	Bc	Aged	UnMapped	0.07279999999999998	5581470	71089750
BcA6	Bc	Aged	chr1	0.0845	4338215	51309923
BcA6	Bc	Aged	chr2	0.086	4410341	51309923
BcA6	Bc	Aged	chr3	0.0459	2353978	51309923
BcA6	Bc	Aged	chr4	0.0343	1759850	51309923
BcA6	Bc	Aged	chr5	0.0383	1967607	51309923
BcA6	Bc	Aged	chr6	0.0618	3169177	51309923
BcA6	Bc	Aged	chr7	0.0502	2573278	51309923
BcA6	Bc	Aged	chr8	0.037	1897446	51309923
BcA6	Bc	Aged	chr9	0.0678	3479363	51309923
BcA6	Bc	Aged	chr10	0.0373	1911335	51309923
BcA6	Bc	Aged	chr11	0.0519	2664712	51309923
BcA6	Bc	Aged	chr12	0.0329	1687415	51309923
BcA6	Bc	Aged	chr13	0.0259	1327649	51309923
BcA6	Bc	Aged	chr14	0.0411	2111112	51309923
BcA6	Bc	Aged	chr15	0.0381	1953761	51309923
BcA6	Bc	Aged	chr16	0.0256	1315619	51309923
BcA6	Bc	Aged	chr17	0.0236	1212962	51309923
BcA6	Bc	Aged	chr18	0.0327	1680212	51309923
BcA6	Bc	Aged	chr19	0.012	613449	51309923
BcA6	Bc	Aged	chrM	0.0353	1812070	51309923
BcA6	Bc	Aged	chrX	0.0339	1740379	51309923
BcA6	Bc	Aged	chrY	0.0938	4814746	51309923
BcA6	Bc	Aged	UnMapped	0.37329999999999997	30564947	51309923
BcA7	Bc	Aged	chr1	0.0795	4385805	55181417
BcA7	Bc	Aged	chr2	0.0414	2285010	55181417
BcA7	Bc	Aged	chr3	0.0326	1800757	55181417
BcA7	Bc	Aged	chr4	0.0433	2388421	55181417
BcA7	Bc	Aged	chr5	0.0457	2524163	55181417
BcA7	Bc	Aged	chr6	0.0343	1892658	55181417
BcA7	Bc	Aged	chr7	0.0293	1615145	55181417
BcA7	Bc	Aged	chr8	0.0297	1639434	55181417
BcA7	Bc	Aged	chr9	0.048	2648795	55181417
BcA7	Bc	Aged	chr10	0.0622	3430360	55181417
BcA7	Bc	Aged	chr11	0.0332	1830093	55181417
BcA7	Bc	Aged	chr12	0.0501	2767180	55181417
BcA7	Bc	Aged	chr13	0.0275	1519636	55181417
BcA7	Bc	Aged	chr14	0.0377	2081901	55181417
BcA7	Bc	Aged	chr15	0.0239	1317886	55181417
BcA7	Bc	Aged	chr16	0.0282	1553970	55181417
BcA7	Bc	Aged	chr17	0.0298	1644722	55181417
BcA7	Bc	Aged	chr18	0.0176	973485	55181417
BcA7	Bc	Aged	chr19	0.0163	900868	55181417
BcA7	Bc	Aged	chrM	0.0584	3221887	55181417
BcA7	Bc	Aged	chrX	0.1048	5784984	55181417
BcA7	Bc	Aged	chrY	0.053	2925959	55181417
BcA7	Bc	Aged	UnMapped	0.15159999999999996	9857349	55181417
BcY1	Bc	Young	chr1	0.0737	6676272	90646829
BcY1	Bc	Young	chr2	0.0898	8138328	90646829
BcY1	Bc	Young	chr3	0.0908	8230036	90646829
BcY1	Bc	Young	chr4	0.0658	5960878	90646829
BcY1	Bc	Young	chr5	0.0528	4782092	90646829
BcY1	Bc	Young	chr6	0.0711	6445496	90646829
BcY1	Bc	Young	chr7	0.0655	5939838	90646829
BcY1	Bc	Young	chr8	0.0391	3545039	90646829
BcY1	Bc	Young	chr9	0.1102	9990286	90646829
BcY1	Bc	Young	chr10	0.0397	3601655	90646829
BcY1	Bc	Young	chr11	0.0454	4112638	90646829
BcY1	Bc	Young	chr12	0.0384	3477892	90646829
BcY1	Bc	Young	chr13	0.0415	3761539	90646829
BcY1	Bc	Young	chr14	0.0502	4546176	90646829
BcY1	Bc	Young	chr15	0.0279	2525476	90646829
BcY1	Bc	Young	chr16	0.0462	4183745	90646829
BcY1	Bc	Young	chr17	0.0304	2753397	90646829
BcY1	Bc	Young	chr18	0.0312	2832713	90646829
BcY1	Bc	Young	chr19	0.0203	1843243	90646829
BcY1	Bc	Young	chrM	0.0191	1732396	90646829
BcY1	Bc	Young	chrX	0.0226	2047371	90646829
BcY1	Bc	Young	chrY	0.0421	3814731	90646829
BcY1	Bc	Young	UnMapped	0.027000000000000024	2512977	90646829
BcY2	Bc	Young	chr1	0.0578	3807334	65866052
BcY2	Bc	Young	chr2	0.086	5665250	65866052
BcY2	Bc	Young	chr3	0.0639	4206368	65866052
BcY2	Bc	Young	chr4	0.048	3162899	65866052
BcY2	Bc	Young	chr5	0.0575	3789509	65866052
BcY2	Bc	Young	chr6	0.0471	3104778	65866052
BcY2	Bc	Young	chr7	0.0414	2724156	65866052
BcY2	Bc	Young	chr8	0.0348	2294148	65866052
BcY2	Bc	Young	chr9	0.0826	5438343	65866052
BcY2	Bc	Young	chr10	0.0374	2463235	65866052
BcY2	Bc	Young	chr11	0.0404	2657946	65866052
BcY2	Bc	Young	chr12	0.0554	3651576	65866052
BcY2	Bc	Young	chr13	0.0379	2498610	65866052
BcY2	Bc	Young	chr14	0.0755	4969820	65866052
BcY2	Bc	Young	chr15	0.0279	1837483	65866052
BcY2	Bc	Young	chr16	0.0537	3537194	65866052
BcY2	Bc	Young	chr17	0.0343	2258268	65866052
BcY2	Bc	Young	chr18	0.0312	2051984	65866052
BcY2	Bc	Young	chr19	0.0133	873638	65866052
BcY2	Bc	Young	chrM	0.0342	2249338	65866052
BcY2	Bc	Young	chrX	0.0308	2030916	65866052
BcY2	Bc	Young	chrY	0.0451	2970521	65866052
BcY2	Bc	Young	UnMapped	0.03759999999999997	2575914	65866052
BcY3	Bc	Young	chr1	0.0838	7466718	89075152
BcY3	Bc	Young	chr2	0.0697	6210769	89075152
BcY3	Bc	Young	chr3	0.0518	4616072	89075152
BcY3	Bc	Young	chr4	0.0493	4393238	89075152
BcY3	Bc	Young	chr5	0.0492	4385636	89075152
BcY3	Bc	Young	chr6	0.0566	5044258	89075152
BcY3	Bc	Young	chr7	0.0609	5422751	89075152
BcY3	Bc	Young	chr8	0.0372	3317790	89075152
BcY3	Bc	Young	chr9	0.0611	5446631	89075152
BcY3	Bc	Young	chr10	0.0459	4085703	89075152
BcY3	Bc	Young	chr11	0.0517	4606187	89075152
BcY3	Bc	Young	chr12	0.0381	3395806	89075152
BcY3	Bc	Young	chr13	0.0404	3601383	89075152
BcY3	Bc	Young	chr14	0.0409	3644375	89075152
BcY3	Bc	Young	chr15	0.0573	5101207	89075152
BcY3	Bc	Young	chr16	0.0349	3109259	89075152
BcY3	Bc	Young	chr17	0.0382	3403742	89075152
BcY3	Bc	Young	chr18	0.0247	2197554	89075152
BcY3	Bc	Young	chr19	0.0356	3173277	89075152
BcY3	Bc	Young	chrM	0.098	8725782	89075152
BcY3	Bc	Young	chrX	0.0268	2384484	89075152
BcY3	Bc	Young	chrY	0.0437	3891960	89075152
BcY3	Bc	Young	UnMapped	0.010399999999999965	934324	89075152
BcY4	Bc	Young	chr1	0.0951	8297361	87240547
BcY4	Bc	Young	chr2	0.0929	8102541	87240547
BcY4	Bc	Young	chr3	0.0586	5114023	87240547
BcY4	Bc	Young	chr4	0.0655	5712706	87240547
BcY4	Bc	Young	chr5	0.0609	5313337	87240547
BcY4	Bc	Young	chr6	0.054	4707279	87240547
BcY4	Bc	Young	chr7	0.05	4364912	87240547
BcY4	Bc	Young	chr8	0.0433	3779204	87240547
BcY4	Bc	Young	chr9	0.0599	5227449	87240547
BcY4	Bc	Young	chr10	0.0429	3742024	87240547
BcY4	Bc	Young	chr11	0.0387	3380062	87240547
BcY4	Bc	Young	chr12	0.0509	4440301	87240547
BcY4	Bc	Young	chr13	0.0311	2714498	87240547
BcY4	Bc	Young	chr14	0.0391	3411954	87240547
BcY4	Bc	Young	chr15	0.0357	3110312	87240547
BcY4	Bc	Young	chr16	0.041	3576340	87240547
BcY4	Bc	Young	chr17	0.0312	2717830	87240547
BcY4	Bc	Young	chr18	0.0236	2058044	87240547
BcY4	Bc	Young	chr19	0.0244	2130525	87240547
BcY4	Bc	Young	chrM	0.053	4625293	87240547
BcY4	Bc	Young	chrX	0.0313	2730585	87240547
BcY4	Bc	Young	chrY	0.0312	2725339	87240547
BcY4	Bc	Young	UnMapped	0.15559999999999996	16081493	87240547
BcY5	Bc	Young	chr1	0.063	3935637	62420984
BcY5	Bc	Young	chr2	0.1586	9902767	62420984
BcY5	Bc	Young	chr3	0.0559	3490213	62420984
BcY5	Bc	Young	chr4	0.0441	2752381	62420984
BcY5	Bc	Young	chr5	0.0456	2848327	62420984
BcY5	Bc	Young	chr6	0.0422	2632061	62420984
BcY5	Bc	Young	chr7	0.0584	3643727	62420984
