Sample	Group	eccDNA	Type	GC
CbA1	Cb	chr1:3163250-3167509	Cb	0.37004
CbA1	Cb	chr1:3183827-3184614	Cb	0.311309
CbA1	Cb	chr1:3394329-3395296	Cb	0.355739
CbA1	Cb	chr1:3564089-3564653	Cb	0.315603
CbA1	Cb	chr1:4025580-4026015	Cb	0.388506
CbA1	Cb	chr1:4066541-4067014	Cb	0.397463
CbA1	Cb	chr1:4491321-4491617	Cb	0.327703
CbA1	Cb	chr1:4507545-4508706	Cb	0.384152
CbA1	Cb	chr1:4530467-4530848	Cb	0.448819
CbA1	Cb	chr1:4655232-4655969	Cb	0.375848
CbA1	Cb	chr1:4938892-4939084	Cb	0.489583
CbA1	Cb	chr1:4970651-4971334	Cb	0.426061
CbA1	Cb	chr1:5345182-5345797	Cb	0.442276
CbA1	Cb	chr1:5445091-5446427	Cb	0.365269
CbA1	Cb	chr1:5788325-5789341	Cb	0.395669
CbA1	Cb	chr1:5788326-5789341	Cb	0.396059
CbA1	Cb	chr1:5999836-6002035	Cb	0.354252
CbA1	Cb	chr1:6397821-6398024	Cb	0.418719
CbA1	Cb	chr1:6592602-6593323	Cb	0.402219
CbA1	Cb	chr1:6597068-6597229	Cb	0.335404
CbA1	Cb	chr1:6820803-6821408	Cb	0.41157
CbA1	Cb	chr1:7071291-7074518	Cb	0.443136
CbA1	Cb	chr1:7438860-7440470	Cb	0.370807
CbA1	Cb	chr1:7460866-7463951	Cb	0.339708
CbA1	Cb	chr1:7937811-7938220	Cb	0.300734
CbA1	Cb	chr1:9332028-9332975	Cb	0.405491
CbA1	Cb	chr1:9787499-9788217	Cb	0.426184
CbA1	Cb	chr1:10150129-10152230	Cb	0.400286
CbA1	Cb	chr1:10330864-10331233	Cb	0.349593
CbA1	Cb	chr1:10476051-10476362	Cb	0.418006
CbA1	Cb	chr1:10880455-10880656	Cb	0.527363
CbA1	Cb	chr1:11044049-11044353	Cb	0.394737
CbA1	Cb	chr1:11827299-11828171	Cb	0.345183
CbA1	Cb	chr1:12582069-12582461	Cb	0.408163
CbA1	Cb	chr1:12632067-12632643	Cb	0.401042
CbA1	Cb	chr1:12721167-12722293	Cb	0.442274
CbA1	Cb	chr1:12952959-12953242	Cb	0.371025
CbA1	Cb	chr1:13079474-13080388	Cb	0.466083
CbA1	Cb	chr1:13245940-13246049	Cb	0.513761
CbA1	Cb	chr1:13379530-13381059	Cb	0.417266
CbA1	Cb	chr1:13673676-13674324	Cb	0.344136
CbA1	Cb	chr1:13728326-13729083	Cb	0.405548
CbA1	Cb	chr1:13960775-13961152	Cb	0.519894
CbA1	Cb	chr1:14312505-14313081	Cb	0.416667
CbA1	Cb	chr1:14446510-14446951	Cb	0.37415
CbA1	Cb	chr1:15064039-15065644	Cb	0.408723
