Sample	Group	eccDNA	Type	GC
CbY1	Cb	chr1:3023397-3023954	Cb	0.368043
CbY1	Cb	chr1:3437346-3437914	Cb	0.357394
CbY1	Cb	chr1:3527321-3527560	Cb	0.435146
CbY1	Cb	chr1:3533505-3534039	Cb	0.453184
CbY1	Cb	chr1:3796767-3798538	Cb	0.412196
CbY1	Cb	chr1:4233063-4233829	Cb	0.506527
CbY1	Cb	chr1:4367983-4368382	Cb	0.388471
CbY1	Cb	chr1:4589152-4590268	Cb	0.358423
CbY1	Cb	chr1:4809177-4809335	Cb	0.424051
CbY1	Cb	chr1:4935413-4935809	Cb	0.406566
CbY1	Cb	chr1:4965707-4966031	Cb	0.388889
CbY1	Cb	chr1:4993385-4994265	Cb	0.417045
CbY1	Cb	chr1:5137831-5138811	Cb	0.393878
CbY1	Cb	chr1:5441443-5442131	Cb	0.293605
CbY1	Cb	chr1:5506616-5507479	Cb	0.390498
CbY1	Cb	chr1:5674730-5675896	Cb	0.396226
CbY1	Cb	chr1:5713594-5713831	Cb	0.379747
CbY1	Cb	chr1:5909341-5910061	Cb	0.308333
CbY1	Cb	chr1:6318214-6318614	Cb	0.37
CbY1	Cb	chr1:6351060-6351317	Cb	0.466926
CbY1	Cb	chr1:6369484-6370297	Cb	0.383764
CbY1	Cb	chr1:6411166-6411481	Cb	0.431746
CbY1	Cb	chr1:6508560-6508866	Cb	0.408497
CbY1	Cb	chr1:6540359-6540740	Cb	0.312336
CbY1	Cb	chr1:6680545-6681475	Cb	0.437634
CbY1	Cb	chr1:6783006-6783434	Cb	0.378505
CbY1	Cb	chr1:7049749-7049999	Cb	0.412
CbY1	Cb	chr1:7549975-7552375	Cb	0.41375
CbY1	Cb	chr1:7692167-7692462	Cb	0.413559
CbY1	Cb	chr1:7940712-7941143	Cb	0.361949
CbY1	Cb	chr1:8140101-8140555	Cb	0.414097
CbY1	Cb	chr1:8564480-8564723	Cb	0.399177
CbY1	Cb	chr1:9389618-9392359	Cb	0.391463
CbY1	Cb	chr1:9630176-9630555	Cb	0.538259
